epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.6957,1.46577,1.18434,1.04653,0.51086,0.36117,0.37578,0.20103,1.41673,0.9475,1.03037,0.000277033,0.000277033,0.000277033
2,104.2,1.48619,0.99377,1.05615,0.52017,0.3414,0.35032,0.17693,1.45963,0.96979,1.05445,0.000543716,0.000543716,0.000543716
3,152.826,1.50011,0.99151,1.06447,0.48004,0.34532,0.36095,0.18708,1.44968,0.92015,1.05259,0.000799404,0.000799404,0.000799404
4,200.976,1.48302,0.96497,1.05242,0.53689,0.38361,0.39977,0.21116,1.41497,0.88582,1.03586,0.00078352,0.00078352,0.00078352
5,248.415,1.46578,0.9361,1.03869,0.53547,0.3868,0.40101,0.20875,1.40448,0.8609,1.02638,0.000767026,0.000767026,0.000767026
6,297.557,1.43751,0.90378,1.03009,0.5452,0.41622,0.42693,0.2279,1.37664,0.82953,1.02084,0.000750533,0.000750533,0.000750533
7,346.887,1.42516,0.88889,1.02836,0.59028,0.43455,0.44717,0.24071,1.38337,0.8346,1.02523,0.00073404,0.00073404,0.00073404
8,394.387,1.41828,0.87786,1.02266,0.55845,0.41991,0.44437,0.23814,1.36965,0.82048,1.01548,0.000717546,0.000717546,0.000717546
9,443.886,1.40348,0.86329,1.02138,0.59712,0.42224,0.45556,0.24553,1.361,0.80667,1.01627,0.000701053,0.000701053,0.000701053
10,495.66,1.39652,0.85393,1.01676,0.61385,0.43907,0.46815,0.25648,1.35141,0.79421,1.00722,0.000684559,0.000684559,0.000684559
11,549.063,1.38516,0.83698,1.00985,0.67355,0.41802,0.46348,0.24849,1.35358,0.79942,1.01067,0.000668066,0.000668066,0.000668066
12,601.373,1.37613,0.82674,1.00599,0.5776,0.43528,0.46626,0.25023,1.34117,0.79293,1.00244,0.000651573,0.000651573,0.000651573
13,651.634,1.37628,0.82281,1.00469,0.58983,0.45904,0.48488,0.26249,1.34273,0.77886,1.00502,0.000635079,0.000635079,0.000635079
14,700.438,1.36348,0.81184,1.00115,0.60835,0.46849,0.49364,0.26317,1.33139,0.77005,0.99806,0.000618586,0.000618586,0.000618586
